question,answer
 پروتئین‌ها چگونه گازهای تنفسی را منتقل می‌کنند؟, مثل هموگلوبین، در خون انجام می‌دهند.
 نقش پمپ سدیم-پتاسیم چیست؟, در جابه‌جایی یون‌ها در غشا و فعالیت آنزیمی شرکت دارد.
 پروتئین کلاژن در کدام بافت‌های بدن وجود دارد؟, پوست، استخوان، زردپی، رباط.
 انقباض ماهیچه‌ها از چه پروتئین‌هایی ناشی می‌شود؟, اکتین و میوزین.
 هورمون‌ها چه نقشی در بدن دارند؟, تنظیم و ارسال پیام‌های بین یاخته‌ای.
 پروتئین‌های مهارکننده ژن‌ها چه نقشی دارند؟, تنظیم فعالیت و غیرفعالیت ژن‌ها.
 چرا انرژی فعال‌سازی برای واکنش‌های شیمیایی ضروری است؟, برای شروع واکنش‌ها نیاز به انرژی فعال‌سازی داریم.
 نقش آنزیم‌ها در واکنش‌های بیولوژیکی چیست؟, افزایش امکان برخورد مولکول‌ها، کاهش انرژی فعال‌سازی، و افزایش سرعت واکنش‌ها.
 آنزیم‌ها چگونه سرعت واکنش‌های زنده را افزایش می‌دهند؟, با افزایش احتمال برخورد مولکول‌ها و کاهش انرژی فعال‌سازی.
 چرا آنزیم‌ها در فعالیت‌های بیولوژیکی مؤثرند؟, بهبود سرعت واکنش‌های زنده، حفظ انرژی ضروری، و بهبود کارایی سیستم‌های زیستی.
 نقش پمپ سدیم-پتاسیم در غشا چیست؟, جابه‌جایی یون‌های سدیم و پتاسیم در غشا و فعالیت آنزیمی.
 جایگاه فعال در ساختار آنزیم چیست؟, بخشی اختصاصی که پیش ماده آن در آن قرار می‌گیرد.
 چه نقشی در ساختار آنزیم دارد؟, تبدیل پیش ماده به محصول و فعالیت آنزیم را تسهیل می‌کند.
 چرا برخی آنزیم‌ها به کوآنزیم‌ها و مواد کمک می‌کنند؟, برای فعالیت بهتر نیاز به یون‌های فلزی یا ویتامین‌ها دارند.
 تأثیر مواد سمی در ساختار آنزیم چیست؟, مانع فعالیت آنزیم می‌شوند، و بعضا مرگ موجب می‌شوند.
 چرا آنزیم‌ها در فعالیت زیستی ضروری هستند؟, برای تسریع و کاهش انرژی فعال‌سازی واکنش‌های زیستی.
 چرا آنزیم‌ها به عنوان عملکرد اختصاصی شناخته می‌شوند؟, بخاطر مطابقت شکل آنزیم با پیش ماده در جایگاه فعال.
 آیا تمام آنزیم‌ها تنها یک نوع واکنش را تسریع می‌کنند؟, خیر، برخی آنزیم‌ها بیش از یک نوع واکنش را تسریع می‌کنند.
 چرا یاخته‌ها به آنزیم‌ها به مقدار کمی نیاز دارند؟, آنزیم‌ها سرعت واکنش را زیاد کرده و به اندازه کمتری نیاز است.
 چرا یاخته‌ها به مدت طولانی از آنزیم‌ها استفاده می‌کنند؟, آنزیم‌ها پس از پایان واکنش بی‌تغییر می‌مانند و مجددا قابل استفاده هستند.
 چرا تولید آنزیم‌های جدید برای یاخته‌ها ضروری است؟, برخی آنزیم‌ها با زمان از بین می‌روند و برای تأمین نیازهای جدید نیاز به تولید آنزیم‌های جدید است.
 چه عواملی بر فعالیت آنزیم‌ها تأثیر می‌گذارند؟, دما، غلظت آنزیم، pH، و پیش‌ماده.
 چرا pH مهم برای فعالیت آنزیم‌ها است؟, pH مؤثر بر ساختار آنزیم و توانایی اتصال به پیش‌ماده است.
 چه pH به عنوان بهینه فعالیت آنزیم‌ها مطرح می‌شود؟, pH بهینه فعالیت آنزیم، pH ویژه‌ای است که بهترین فعالیت را دارد.
 چرا تغییر pH می‌تواند فعالیت آنزیم‌ها را تغییر دهد؟, تغییر pH باعث تغییر شکل آنزیم می‌شود و ممکن است اتصال آن به پیش‌ماده کاهش یابد.
 در چه دمایی آنزیم‌های بدن انسان بهترین فعالیت را دارند؟, ۳۷ درجه سانتی‌گراد.
 چرا دما برای فعالیت آنزیم‌ها مهم است؟, دما مؤثر در ساختار و فعالیت آنزیم‌هاست.
 آیا تأثیر دما بر فعالیت آنزیم‌ها قابل برگشت است؟, بله، برخی آنزیم‌ها در دمای پایین غیرفعال می‌شوند و با بازگشت به دمای طبیعی ممکن است به فعالیت برگردند.
 آیا غلظت آنزیم تأثیری بر سرعت واکنش دارد؟, بله، غلظت کمی از آنزیم می‌تواند مقدار زیادی از پیش ماده را تبدیل کند، اما افزایش غلظت بیش از حد تمام جایگاه‌های فعال را پر می‌کند و سرعت ثابت می‌شود.
 آیا افزایش غلظت پیش ماده تا حدی تأثیری بر سرعت واکنش دارد؟, بله، افزایش غلظت پیش ماده ممکن است سرعت واکنش را تا حدی افزایش دهد، اما وقتی تمامی جایگاه‌های فعال آنزیم با پیش ماده پر شوند، سرعت ثابت می‌شود.
 چرا افزایش غلظت آنزیم بیش از حد نهایی تأثیری بر سرعت واکنش ندارد؟, از آنجایی که تمام جایگاه‌های فعال آنزیم‌ها با پیش ماده پر می‌شوند، افزایش غلظت آنزیم بیش از حد تمامی جایگاه‌های فعال را اشغال می‌کند و سرعت واکنش ثابت می‌ماند.
